candidate_agent,baseline_agent,metric,higher_is_better,signed_positive_favors_candidate,total_pair_count,available_paired_count,candidate_only_available_drop_count,baseline_only_available_drop_count,both_unavailable_drop_count,availability_coverage,endpoint_availability,paired_count,bootstrap_unit,cluster_count,outer_cluster_count,inner_cluster_count,mean_delta,ci95_low,ci95_high,ci95_method,percentile_ci95_low,percentile_ci95_high,bca_ci95_low,bca_ci95_high,bca_available,std_delta,cohen_dz,outer_cluster_std_delta,outer_cluster_cohen_d,wins,ties,losses,paired_row_wins,paired_row_ties,paired_row_losses,sign_test_unit,sign_test_effective_count,sign_test_denominator,low_outer_cluster_count,sign_test_pvalue_exact,sign_test_pvalue,raw_mean_delta_candidate_minus_baseline,raw_ci95_low,raw_ci95_high,raw_delta_definition,signed_delta_definition,holm_sign_test_pvalue,holm_family,holm_available_family_size,holm_preregistered_family_size,holm_unavailable_family_count
sa_ghmappo,reactive_lru,full_service_ready_byte_hit_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.001416,0.0,0.004357,bca,0.0,0.003595,0.0,0.004357,True,0.009025,0.156915,0.003319,0.426662,2,10,0,13,527,0,outer_cluster_mean,12,2,False,0.5,0.5,0.001416,0.0,0.004357,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_lru,joint_base_adapter_hit_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.002723,0.0,0.008061,bca,0.0,0.006754,0.0,0.008061,True,0.012372,0.220122,0.006511,0.418254,2,10,0,25,515,0,outer_cluster_mean,12,2,False,0.5,0.5,0.002723,0.0,0.008061,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_lru,full_service_ready_request_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.001416,0.0,0.004466,bca,0.0,0.003595,0.0,0.004466,True,0.009025,0.156915,0.003319,0.426662,2,10,0,13,527,0,outer_cluster_mean,12,2,False,0.5,0.5,0.001416,0.0,0.004466,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_lru,transfer_mb_per_request,False,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,-2.440697,-4.754924,-1.322853,bca,-4.156279,-1.101703,-4.754924,-1.322853,True,6.945725,-0.351396,2.68121,-0.910297,0,3,9,0,440,100,outer_cluster_mean,12,9,False,0.00390625,0.003906,2.440697,1.322853,4.754924,candidate_minus_baseline,positive_favors_candidate,0.328125,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_lru,workflow_continuity_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.001416,0.0,0.004248,bca,0.0,0.003595,0.0,0.004248,True,0.009025,0.156915,0.003319,0.426662,2,10,0,13,527,0,outer_cluster_mean,12,2,False,0.5,0.5,0.001416,0.0,0.004248,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_lru,end_to_end_workflow_delay,False,True,540,220,0,0,320,0.407407,AVAILABLE,220,hierarchical,9,9,220,0.0,0.0,0.0,bca,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0,9,0,0,220,0,outer_cluster_mean,9,0,True,1.0,1.0,-0.0,-0.0,-0.0,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_fifo,full_service_ready_byte_hit_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.001416,0.0,0.004466,bca,0.0,0.003595,0.0,0.004466,True,0.009025,0.156915,0.003319,0.426662,2,10,0,13,527,0,outer_cluster_mean,12,2,False,0.5,0.5,0.001416,0.0,0.004466,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_fifo,joint_base_adapter_hit_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.002723,0.0,0.008388,bca,0.0,0.006863,0.0,0.008388,True,0.012372,0.220122,0.006511,0.418254,2,10,0,25,515,0,outer_cluster_mean,12,2,False,0.5,0.5,0.002723,0.0,0.008388,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_fifo,full_service_ready_request_rate,True,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,0.001416,0.0,0.004466,bca,0.0,0.003595,0.0,0.004466,True,0.009025,0.156915,0.003319,0.426662,2,10,0,13,527,0,outer_cluster_mean,12,2,False,0.5,0.5,0.001416,0.0,0.004466,candidate_minus_baseline,positive_favors_candidate,1.0,all_baseline_metric_comparisons,84,84,0
sa_ghmappo,reactive_fifo,transfer_mb_per_request,False,True,540,540,0,0,0,1.0,AVAILABLE,540,hierarchical,12,12,540,-2.440697,-4.837596,-1.331135,bca,-4.162014,-1.113759,-4.837596,-1.331135,True,6.945725,-0.351396,2.68121,-0.910297,0,3,9,0,440,100,outer_cluster_mean,12,9,False,0.00390625,0.003906,2.440697,1.331135,4.837596,candidate_minus_baseline,positive_favors_candidate,0.328125,all_baseline_metric_comparisons,84,84,0
