agent_name,seed,episode_index,workflow_id,window_id,episode_success,total_reward,end_to_end_workflow_delay,workflow_continuity_rate,handoff_failure_rate,adapter_warm_hit_ratio,backhaul_traffic_cost,source_file,agent_label,reward_ma12,success_ma12
cache_offload_drl,7,1,j_3,window_off154_len24_t199_222,True,60.2,9.0,1.0,0.0,1.0,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,60.2,1.0
cache_offload_drl,7,2,j_8,window_off456_len24_t501_524,False,106.85,16.0,1.0,0.0,1.0,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,83.525,0.5
cache_offload_drl,7,3,j_3,window_off1254_len24_t1472_1495,True,60.1,9.0,1.0,0.0,1.0,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,75.71666666666667,0.6666666666666666
cache_offload_drl,7,4,j_8,window_off1398_len24_t1739_2034,False,94.0,288.0,0.8125,1.0,0.8125,128.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,80.2875,0.5
cache_offload_drl,7,5,j_3,window_off1542_len24_t2155_2178,True,62.95,10.0,0.9,0.0,0.9,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,76.82000000000001,0.6
cache_offload_drl,7,6,j_8,window_off1668_len24_t2429_2478,False,69.35,25.0,0.4375,1.0,0.4375,192.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,75.575,0.5
cache_offload_drl,7,7,j_3,window_off1926_len24_t2932_3073,True,90.27,14.0,0.642857,0.0,0.642857,144.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,77.67428571428572,0.5714285714285714
cache_offload_drl,7,8,j_8,window_off2150_len24_t3274_3297,False,31.6,16.0,0.0,0.0,0.0,0.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,71.915,0.5
cache_offload_drl,7,9,j_3,window_off2292_len24_t3416_3439,True,88.94,14.0,0.642857,0.5,0.642857,96.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,73.80666666666667,0.5555555555555556
cache_offload_drl,7,10,j_8,window_off2516_len24_t4059_4082,False,106.95,16.0,1.0,0.0,1.0,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,77.12100000000001,0.5
cache_offload_drl,7,11,j_3,window_off2566_len24_t4109_4132,True,68.65,12.0,0.75,0.0,0.75,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,76.3509090909091,0.5454545454545454
cache_offload_drl,7,12,j_8,window_off2672_len24_t4215_4238,False,102.85,16.0,0.9375,0.0,0.9375,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,78.55916666666667,0.5
cache_offload_drl,7,13,j_3,window_off2994_len24_t4625_4667,True,75.7,33.0,0.642857,0.0,0.642857,128.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,79.85083333333333,0.5
cache_offload_drl,7,14,j_8,window_off3672_len24_t5352_5378,False,115.87,19.0,0.8125,0.0,0.8125,272.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,80.6025,0.5
cache_offload_drl,7,15,j_3,window_off3810_len24_t5540_5563,False,78.65,16.0,0.5,0.0,0.5,192.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,82.14833333333333,0.4166666666666667
cache_offload_drl,7,16,j_8,window_off3946_len24_t5676_5699,False,108.0,16.0,1.0,0.0,1.0,128.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,83.315,0.4166666666666667
cache_offload_drl,7,17,j_3,window_off4136_len24_t5866_5889,True,60.1,9.0,1.0,0.0,1.0,64.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,83.0775,0.4166666666666667
cache_offload_drl,7,18,j_8,window_off4554_len24_t6284_6307,False,112.2,16.0,0.9375,0.0,0.9375,128.0,artifacts/experiments/top_journal_closed_loop/strict_full_v8_dev_screen_20260621_v2/training/algo_pool/cache_offload_drl/cache_offload_drl_train_20260621_024721_220283_seed7/train.csv,Cache-Offload DRL,86.64833333333333,0.4166666666666667
